Address,Team,Time,Type
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020027?gameHash=62e360abbd8ddc56,bDragons,28.863,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020027?gameHash=62e360abbd8ddc56,bDragons,22.729,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70,bDragons,31.613,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70,bDragons,10.084,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70,bDragons,24.382,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f,bDragons,27.94,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f,bDragons,40.466,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f,bDragons,7.22,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940,bDragons,24.187,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906,bDragons,24.871,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906,bDragons,12.475,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906,bDragons,18.632,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020066?gameHash=5ebe8599510754b7,bDragons,17.199,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020066?gameHash=5ebe8599510754b7,bDragons,30.186,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020073?gameHash=ef40a808db5a979c,bDragons,27.984,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020073?gameHash=ef40a808db5a979c,bDragons,15.309,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3,bDragons,25.07,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3,bDragons,10.998,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3,bDragons,17.235,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a,bDragons,17.698,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a,bDragons,24.213,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a,bDragons,10.085,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410,bDragons,17.795,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410,bDragons,37.645,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410,bDragons,11.619,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2,bDragons,30.759,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2,bDragons,15.897,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2,bDragons,37.265,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2,bDragons,9.603,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030110?gameHash=e1bde5fe2c45e8e3,bDragons,8.666,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030110?gameHash=e1bde5fe2c45e8e3,bDragons,22.854,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030118?gameHash=39b9ce5203d86ca3,bDragons,8.377,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,bDragons,17.823,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,bDragons,9.869,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227,bDragons,32.329,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227,bDragons,26.196,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44,bDragons,29.895,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44,bDragons,22.903,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,bDragons,23.208,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,bDragons,29.904,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,bDragons,10.509,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,bDragons,16.802,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec,bDragons,37.256,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec,bDragons,44.412,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec,bDragons,31.105,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec,bDragons,24.551,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,bDragons,28.699,DRAGON
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,bDragons,34.914,DRAGON
